mode,variant,mitig,scrub,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla-nci,tmr,off,off,4,ocm,0,6223,5,5,yes,685741,13714.82,72.91,6/6,300,13843.87,72.23,2490,193,6053,5107,450 0 0 0 871 3032
cnn,vanilla-nci,tmr,off,off,4,ocm,1,73380,2,2,yes,694478,13889.56,71.99,6/6,300,13843.87,72.23,2490,193,6053,5107,256 1823 2846 1881 1378 1
cnn,vanilla-nci,tmr,off,off,4,ocm,2,6744,4,4,yes,695047,13900.94,71.93,6/6,300,13843.87,72.23,2490,193,6053,5107,577 703 52 49 1689 0
cnn,vanilla-nci,tmr,off,off,4,ocm,3,66768,3,3,yes,691904,13838.08,72.26,6/6,300,13843.87,72.23,2490,193,6053,5107,102 1341 472 1928 846 18
cnn,vanilla-nci,tmr,off,off,4,ocm,4,79150,0,0,yes,693885,13877.7,72.05,6/6,300,13843.87,72.23,2490,193,6053,5107,2855 804 405 259 1467 243
cnn,vanilla-nci,tmr,off,off,4,ocm,6,76951,1,1,yes,692108,13842.16,72.24,6/6,300,13843.87,72.23,2490,193,6053,5107,0 3096 2239 2324 1961 0
