elf,mode,variant,cache_i,cache_d,sa_size,layout,status,text,data,bss
cnn_vanilla_4x4_bram,cnn,vanilla,1,1,4,bram,ok,80325,98404,121280
cnn_vanilla_8x8_bram,cnn,vanilla,1,1,8,bram,ok,80389,98404,121280
cnn_vanilla_16x16_bram,cnn,vanilla,1,1,16,bram,ok,80389,98404,121280
