build,variant,sa_size,acc_bits,layout,mitig,scrub,status,wns_ns,whs_ns,lut,lut_pct,ff,ff_pct,dsp,dsp_pct,bram,bram_pct,essential_bits,total_cram_bits
ursa_vanilla_4x4_acc20_bram,vanilla,4,20,bram,none,off,ok,0.913,0.027,6826,12.83,8113,7.63,16,7.27,10.5,7.50,1602990,25697632
ursa_vanilla_8x8_acc20_bram,vanilla,8,20,bram,none,off,ok,0.503,0.016,9670,18.18,11532,10.84,64,29.09,11.5,8.21,2349637,25697632
ursa_vanilla_16x16_acc20_bram,vanilla,16,20,bram,none,off,ok,0.167,0.016,22731,42.73,27202,25.57,220,100.00,14.5,10.36,6411536,25697632
